"","basisOfRecord","eventDate","eventTime","scientificName","kingdom","taxonRank","individualCount","decimalLatitude","decimalLongitude","countryCode","plantCategory","project_area","Group","occurenceID"
"1573","AcceptedTaxon",2021-06-24,"13:55+01:00","Orthetrum cancellatum","Animalia","species","1","51.17837","5.66492","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0605"
"15810","AcceptedTaxon",2021-06-24,"13:55+01:00","Orthetrum cancellatum","Animalia","species","1","51.17787","5.66576","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0606"
"15910","AcceptedTaxon",2021-06-24,"13:55+01:00","Orthetrum cancellatum","Animalia","species","1","51.25401","3.53892","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0607"
"16010","AcceptedTaxon",2021-06-24,"13:55+01:00","Orthetrum cancellatum","Animalia","species","1","51.25358","3.53901","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0608"
"1618","AcceptedTaxon",2021-06-16,"11:30+01:00","Orthetrum cancellatum","Animalia","species","2","51.17837","5.66492","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0609"
"16210","AcceptedTaxon",2021-06-16,"11:30+01:00","Orthetrum cancellatum","Animalia","species","2","51.17787","5.66576","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0610"
"16310","AcceptedTaxon",2021-06-16,"11:30+01:00","Orthetrum cancellatum","Animalia","species","2","51.25401","3.53892","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0611"
"16410","AcceptedTaxon",2021-06-16,"11:30+01:00","Orthetrum cancellatum","Animalia","species","2","51.25358","3.53901","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0612"
"1657","AcceptedTaxon",2022-06-01,"11:17+01:00","Erythromma najas","Animalia","species","6","51.17837","5.66492","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0613"
"1665","AcceptedTaxon",2022-06-01,"11:17+01:00","Erythromma najas","Animalia","species","6","51.17787","5.66576","BE",NA,4,"Libellen","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0614"
