Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
13,1,2,11:44,Viervlek,1,
13,1,3,11:50,Lantaarntje,2,
13,1,3,11:50,Zwervende pantserjuffer,1,
13,1,3,11:50,Gewone oeverlibel,1,
13,1,3,11:50,Bloedrode heidelibel,7,
13,1,4,11:57,Bruine korenbout,2,
13,1,4,11:57,Bloedrode heidelibel,2,
13,1,5,12:16,Azuurwaterjuffer,1,
13,1,5,12:16,Bruine korenbout,1,
13,1,5,12:16,Glassnijder,1,
13,1,5,12:16,Smaragdlibel,1,
13,1,5,12:16,Bloedrode heidelibel,10,
13,1,6,12:20,Gewone oeverlibel,2,
13,1,6,12:20,Smaragdlibel,1,
13,1,6,12:20,Viervlek,1,
13,1,6,12:20,Bloedrode heidelibel,10,
13,1,7,12:25,Breedscheenjuffer,1,
13,1,7,12:25,Bloedrode heidelibel,100,
13,1,7,12:25,Vroege glazenmaker,1,
13,1,8,12:31,Glassnijder,1,
13,1,8,12:31,Bloedrode heidelibel,100,
13,1,9,12:34,Lantaarntje,2,
13,1,9,12:34,Smaragdlibel,1,
13,1,9,12:34,Bloedrode heidelibel,100,
13,1,9,12:34,Vroege glazenmaker,1,
13,1,10,12:37,Bruine korenbout,1,
13,1,10,12:37,Glassnijder,1,
13,1,10,12:37,Viervlek,1,
13,1,10,12:37,Grote keizerlibel,1,
13,1,10,12:37,Bloedrode heidelibel,100,
13,2,1,12:58,Lantaarntje,1,
13,2,1,12:58,Gewone oeverlibel,15,
13,2,1,12:58,Bruine korenbout,1,
13,2,1,12:58,Vroege glazenmaker,1,
13,2,1,12:58,Zuidelijke keizerlibel,1,
13,2,2,13:03,Gewone oeverlibel,3,
13,2,2,13:03,Bloedrode heidelibel,7,
13,2,3,13:05,Gewone oeverlibel,1,
13,2,3,13:05,Glassnijder,1,
13,2,3,13:05,Bloedrode heidelibel,1,
13,2,3,13:05,Vroege glazenmaker,1,
13,2,4,13:08,Gewone oeverlibel,1,
13,2,4,13:08,Bruine korenbout,1,
13,2,4,13:08,Glassnijder,1,
13,2,4,13:08,Grote keizerlibel,1,
13,2,4,13:08,Bloedrode heidelibel,1,
13,2,4,13:08,Vroege glazenmaker,1,
13,2,5,13:12,Weidebeekjuffer,1,
13,2,5,13:12,Bloedrode heidelibel,3,
13,2,6,13:14,Vroege glazenmaker,1,
13,2,7,13:18,Gewone oeverlibel,1,
13,2,7,13:18,Bloedrode heidelibel,7,
13,2,8,13:20,Glassnijder,1,
13,2,8,13:20,Bloedrode heidelibel,3,
13,2,9,13:23,Tengere pantserjuffer,1,
13,2,9,13:23,Gewone pantserjuffer,1,
13,2,9,13:23,Bloedrode heidelibel,10,
13,2,10,13:31,Bloedrode heidelibel,1,
14,1,1,13:55,Lantaarntje,18,
14,1,1,13:55,Watersnuffel,1,
14,1,1,13:55,Zwervende pantserjuffer,1,
14,1,1,13:55,Gewone pantserjuffer,1,
14,1,1,13:55,Gewone oeverlibel,1,
14,1,1,13:55,Bruine korenbout,1,
14,1,1,13:55,Bloedrode heidelibel,30,
14,1,2,14:21,Gewone oeverlibel,2,
14,1,2,14:21,Bruine korenbout,2,
14,1,2,14:21,Glassnijder,1,
14,1,2,14:21,Platbuik,1,
14,1,2,14:21,Bloedrode heidelibel,8,
14,1,3,14:28,Lantaarntje,2,
14,1,3,14:28,Gewone oeverlibel,1,
14,1,3,14:28,Bruine korenbout,2,
14,1,3,14:28,Grote keizerlibel,1,
14,1,3,14:28,Bloedrode heidelibel,15,
14,1,3,14:28,Bruinrode heidelibel,1,
14,1,4,14:38,Gewone oeverlibel,3,
14,1,4,14:38,Bruine korenbout,1,
14,1,4,14:38,Bloedrode heidelibel,15,
14,1,4,14:38,Bruinrode heidelibel,3,
14,1,5,15:22,Lantaarntje,1,
14,1,5,15:22,Bruine korenbout,2,
14,1,5,15:22,Bloedrode heidelibel,25,
14,1,5,15:22,Vuurlibel,1,
14,1,6,15:26,Bloedrode heidelibel,25,
