Survey_ID,Transect,Stop,Tijd,Vogel,Aantal,,,,,,,,,,,,,,,,,,,,
3,1,2,10:04,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
3,1,3,10:10,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
3,1,4,10:15,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
3,1,4,10:15,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
3,1,5,10:19,,,,,,,,,,,,,,,,,,,,,,
3,1,6,10:22,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
3,1,7,10:25,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
3,1,7,10:25,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
3,1,7,10:25,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
3,1,8,10:28,,,,,,,,,,,,,,,,,,,,,,
3,1,9,10:32,,,,,,,,,,,,,,,,,,,,,,
3,2,1,10:53,Kuifeend,9,,,,,,,,,,,,,,,,,,,,
3,2,1,10:53,Oeverloper,2,,,,,,,,,,,,,,,,,,,,
3,2,2,11:00,,,,,,,,,,,,,,,,,,,,,,
3,2,3,11:04,Bruine kiekendief,1,,,,,,,,,,,,,,,,,,,,
3,2,3,11:04,Oeverloper,1,,,,,,,,,,,,,,,,,,,,
3,2,4,11:10,Oeverloper,3,,,,,,,,,,,,,,,,,,,,
3,2,5,11:18,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
3,2,6,11:21,,,,,,,,,,,,,,,,,,,,,,
3,2,7,11:23,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
4,1,1,5:17,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
4,1,2,5:20,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,1,3,5:24,,,,,,,,,,,,,,,,,,,,,,
4,1,4,5:31,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,1,4,5:31,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
4,1,5,5:36,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
4,1,6,5:41,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
4,1,6,5:41,Slobeend,8,,,,,,,,,,,,,,,,,,,,
4,1,6,5:41,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
4,2,1,5:45,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
4,2,1,5:45,Tafeleend,1,,,,,,,,,,,,,,,,,,,,
4,2,1,5:45,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
4,2,1,5:45,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,2,1,5:45,Rietgors,1,,,,,,,,,,,,,,,,,,,,
4,2,2,5:49,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,2,2,5:49,Rietgors,2,,,,,,,,,,,,,,,,,,,,
4,2,2,5:49,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Rietgors,1,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Tafeleend,6,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
