Survey_ID,Transect,Deeltraject,Type,Lengte,Tijd,Soort,Aantal,
14,1,1,LW,50,13:55,Bruine korenbout,1,
14,1,1,LW,50,13:55,Bloedrode heidelibel,30,
14,1,2,L,50,14:21,Gewone oeverlibel,2,
14,1,2,L,50,14:21,Bruine korenbout,2,
14,1,2,L,50,14:21,Glassnijder,1,
14,1,2,L,50,14:21,Platbuik,1,
14,1,2,L,50,14:21,Bloedrode heidelibel,8,
14,1,3,LW,50,14:28,Lantaarntje,2,
14,1,3,LW,50,14:28,Gewone oeverlibel,1,
14,1,3,LW,50,14:28,Bruine korenbout,2,
14,1,3,LW,50,14:28,Grote keizerlibel,1,
14,1,3,LW,50,14:28,Bloedrode heidelibel,15,
14,1,3,LW,50,14:28,Bruinrode heidelibel,1,
14,1,4,L,50,14:38,Gewone oeverlibel,3,
14,1,4,L,50,14:38,Bruine korenbout,1,
14,1,4,L,50,14:38,Bloedrode heidelibel,15,
14,1,4,L,50,14:38,Bruinrode heidelibel,3,
14,1,5,LW,50,15:22,Lantaarntje,1,
14,1,5,LW,50,15:22,Bruine korenbout,2,
14,1,5,LW,50,15:22,Bloedrode heidelibel,25,
14,1,5,LW,50,15:22,Vuurlibel,1,
14,1,6,L,50,15:26,Bloedrode heidelibel,25,
14,1,7,LW,50,15:28,Grote roodoogjuffer,1,
14,1,7,LW,50,15:28,Azuurwaterjuffer,1,
14,1,7,LW,50,15:28,Viervlek,2,
14,1,7,LW,50,15:28,Grote keizerlibel,1,
14,1,7,LW,50,15:28,Bloedrode heidelibel,5,
14,1,8,L,50,15:33,Grote keizerlibel,1,
14,1,8,L,50,15:33,Bloedrode heidelibel,25,
14,1,8,L,50,15:33,Vuurlibel,1,
14,1,9,LW,50,15:38,Gewone pantserjuffer,1,
14,1,9,LW,50,15:38,Gewone oeverlibel,1,
14,1,9,LW,50,15:38,Bloedrode heidelibel,30,
14,1,9,LW,50,15:38,Vroege glazenmaker,1,
14,1,10,L,50,15:43,Gewone oeverlibel,2,
14,1,10,L,50,15:43,Bruine korenbout,1,
14,1,10,L,50,15:43,Grote keizerlibel,1,
14,1,10,L,50,15:43,Bloedrode heidelibel,100,
14,1,10,L,50,15:43,Bruinrode heidelibel,1,
14,2,1,LW,50,16:04,Gewone oeverlibel,2,
14,2,1,LW,50,16:04,Bloedrode heidelibel,1,
14,2,1,LW,50,16:04,Vroege glazenmaker,1,
14,2,2,L,50,16:08,Bruine korenbout,1,
