Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Grote Roodoogjuffer,2,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Lantaarntje,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Variabele waterjuffer,4,1,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Grote Roodoogjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Lantaarntje,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Variabele waterjuffer,,4,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09456,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Grote Roodoogjuffer,2,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Lantaarntje,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Variabele waterjuffer,2,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,150,Rijnstrangenaerdt 150,Ronde_1,51.89852,6.09507,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
